Planet 1
Position History (x, y, z)
1.2536389590026007e-07, 4.889918114350552e-06, 0.0
1.619301071198673e-07, 4.890113422510334e-06, 0.0
2.0560246839754803e-07, 4.893397901291498e-06, 0.0
2.5699439223141117e-07, 4.901331020585548e-06, 0.0
3.1663854786886224e-07, 4.916183490186033e-06, 0.0
3.846710680869664e-07, 4.941333448006826e-06, 0.0
4.5999706968299464e-07, 4.981770382957505e-06, 0.0
5.383089799542487e-07, 5.044179317777282e-06, 0.0
6.088233941327617e-07, 5.134312788058581e-06, 0.0
6.55056858531832e-07, 5.248471380533243e-06, 0.0
6.68403692835845e-07, 5.369871910345724e-06, 0.0
6.550336285764905e-07, 5.483403552735193e-06, 0.0
6.250760820683451e-07, 5.58351031478656e-06, 0.0
5.860006480578656e-07, 5.670056395800585e-06, 0.0
5.423719561305312e-07, 5.744562176172298e-06, 0.0
4.968910304555563e-07, 5.8087471940769e-06, 0.0
4.5118409727457624e-07, 5.864125440556525e-06, 0.0
4.062629424323345e-07, 5.911942812540935e-06, 0.0
3.6278130562242606e-07, 5.95320726231023e-06, 0.0
3.2117910175905575e-07, 5.988735357505904e-06, 0.0
2.817658340969154e-07, 6.0191944831202654e-06, 0.0
2.4477047277925936e-07, 6.045136682032193e-06, 0.0
2.1037234566360305e-07, 6.067024780226266e-06, 0.0
1.7872098453247368e-07, 6.085252411172314e-06, 0.0
1.499493970137643e-07, 6.10015948182294e-06, 0.0
1.2418336459001024e-07, 6.112044324922219e-06, 0.0
1.015483343373354e-07, 6.121173495444059e-06, 0.0
8.2174888894969e-08, 6.127789949092729e-06, 0.0
6.6203445280855e-08, 6.1321201915409815e-06, 0.0
5.378864254192128e-08, 6.134380900928103e-06, 0.0
4.510377348720387e-08, 6.134785497697865e-06, 0.0
4.034556502181415e-08, 6.13355116671822e-06, 0.0
3.9739596058938055e-08, 6.130906938770275e-06, 0.0
4.354664790763858e-08, 6.127103639462157e-06, 0.0
5.207029303195442e-08, 6.122426866278582e-06, 0.0
6.566601239937207e-08, 6.117214755708576e-06, 0.0
8.475201409200209e-08, 6.111883328743115e-06, 0.0
1.0982151861159695e-07, 6.106963977948775e-06, 0.0
1.4145509969668884e-07, 6.103160775881216e-06, 0.0
1.8032847114180945e-07, 6.101440804544439e-06, 0.0
2.2720253754671097e-07, 6.103180345196387e-06, 0.0
2.8285942146944593e-07, 6.110405250048809e-06, 0.0
3.4788568653021705e-07, 6.126180634632853e-06, 0.0
4.2204141955320214e-07, 6.1551769054018125e-06, 0.0
5.026141874303578e-07, 6.2041186649584326e-06, 0.0
5.811193605337089e-07, 6.280377669522315e-06, 0.0
6.415428008003907e-07, 6.384722622165569e-06, 0.0
6.708375740164183e-07, 6.5035805741177095e-06, 0.0
6.709935317191824e-07, 6.619919490174914e-06, 0.0
6.513613970231593e-07, 6.725374591940733e-06, 0.0
6.19955840443035e-07, 6.818244302798617e-06, 0.0
5.819711105179979e-07, 6.899342991152327e-06, 0.0
5.40580323030531e-07, 6.970077190555183e-06, 0.0
4.977391385707683e-07, 7.031816783053303e-06, 0.0
4.5469020168262337e-07, 7.085738097383536e-06, 0.0
4.1225304725024465e-07, 7.132813894919013e-06, 0.0
3.70990094983995e-07, 7.173841977598662e-06, 0.0
3.313038610589938e-07, 7.209478897824464e-06, 0.0
2.934956871427336e-07, 7.240269550173138e-06, 0.0
2.5780244556764963e-07, 7.266671049058305e-06, 0.0
2.2442031152544197e-07, 7.289071489424295e-06, 0.0
1.9352076127859097e-07, 7.3078046455002114e-06, 0.0
1.652618173738115e-07, 7.32316160553383e-06, 0.0
1.3979637214196766e-07, 7.335400167300525e-06, 0.0
1.1727874462616777e-07, 7.344752654307546e-06, 0.0
9.787023661812425e-08, 7.351432689460685e-06, 0.0
8.174423000685045e-08, 7.355641387401236e-06, 0.0
6.909124484707683e-08, 7.357573399240171e-06, 0.0
6.01243197416746e-08, 7.357423267659651e-06, 0.0
5.5085063631489846e-08, 7.35539263795581e-06, 0.0
5.4250749263093836e-08, 7.351699046650224e-06, 0.0
5.794286335342063e-08, 7.346587321616968e-06, 0.0
6.653757888500738e-08, 7.340345164236768e-06, 0.0
8.047862520179003e-08, 7.333325406544038e-06, 0.0
1.0029287718268332e-07, 7.325979044738225e-06, 0.0
1.2660832809271603e-07, 7.318906007047768e-06, 0.0
1.60172030992343e-07, 7.312935766799744e-06, 0.0
2.0185954035870348e-07, 7.30925921892574e-06, 0.0
2.5265016102619013e-07, 7.3096493743067894e-06, 0.0
3.134935199849673e-07, 7.316831565918034e-06, 0.0
3.848581424335186e-07, 7.335068435400678e-06, 0.0
4.654277851795545e-07, 7.370840654196283e-06, 0.0
5.490598994210009e-07, 7.432419103161738e-06, 0.0
6.213769232309857e-07, 7.5243778207730615e-06, 0.0
6.662035287214465e-07, 7.637565920586946e-06, 0.0
6.806580876228206e-07, 7.754374748515762e-06, 0.0
6.724412184666748e-07, 7.863644475557677e-06, 0.0
6.498002917118952e-07, 7.961822354957028e-06, 0.0
6.184874593143526e-07, 8.0488235828747e-06, 0.0
5.821402961750811e-07, 8.125634420588693e-06, 0.0
5.430498005241108e-07, 8.193419999368052e-06, 0.0
5.026967082038512e-07, 8.253250544375598e-06, 0.0
4.6207238586272993e-07, 8.306040109656475e-06, 0.0
4.218663623809239e-07, 8.352551704675038e-06, 0.0
3.825775685724681e-07, 8.393419607430701e-06, 0.0
3.4458217856760863e-07, 8.429173088988099e-06, 0.0
3.081763363391573e-07, 8.460257090534376e-06, 0.0
2.736040017182371e-07, 8.487049131026958e-06, 0.0
2.4107577532604793e-07, 8.509872858744341e-06, 0.0
2.1078215566688928e-07, 8.529008914895212e-06, 0.0
1.8290333176818296e-07, 8.544703754331411e-06, 0.0
1.576168424432372e-07, 8.55717697790251e-06, 0.0
1.3510398558229292e-07, 8.566627644758522e-06, 0.0
1.1555560228943938e-07, 8.57323997426905e-06, 0.0
9.917771761317028e-08, 8.577188824590959e-06, 0.0
8.619745214659861e-08, 8.57864535506269e-06, 0.0
7.686960582336646e-08, 8.577783354416854e-06, 0.0
7.148434639048143e-08, 8.574786869237097e-06, 0.0
7.037650492998463e-08, 8.569860040002152e-06, 0.0
7.393708246333544e-08, 8.563240524281321e-06, 0.0
8.26276828315932e-08, 8.555218703823684e-06, 0.0
9.699863461779308e-08, 8.546166307494539e-06, 0.0
1.1771132721799032e-07, 8.536580655237367e-06, 0.0
1.4556411602881282e-07, 8.527155436422598e-06, 0.0
1.8151717057409218e-07, 8.518897651877797e-06, 0.0
2.266993429415427e-07, 8.513326241456977e-06, 0.0
2.8234328065708984e-07, 8.51281414927376e-06, 0.0
3.4948716834011664e-07, 8.5211611810788e-06, 0.0
4.279932741238683e-07, 8.544400929362606e-06, 0.0
5.139325731792207e-07, 8.591095845051345e-06, 0.0
5.953562328092187e-07, 8.6687188589085e-06, 0.0
6.545876338230166e-07, 8.773167799446205e-06, 0.0
6.836912463552499e-07, 8.887868003273483e-06, 0.0
6.877708531795635e-07, 8.999176060954938e-06, 0.0
6.748756440461017e-07, 9.101450058384684e-06, 0.0
6.511933891767281e-07, 9.19350228895908e-06, 0.0
6.207990159394365e-07, 9.275779773558729e-06, 0.0
5.863163645990831e-07, 9.349174945234753e-06, 0.0
5.494672592960475e-07, 9.414611074959939e-06, 0.0
5.114184816100802e-07, 9.472917372925783e-06, 0.0
4.72989696616484e-07, 9.524804368530007e-06, 0.0
4.347785604560888e-07, 9.570871527760624e-06, 0.0
3.97237747496692e-07, 9.611623277032213e-06, 0.0
3.6072380446663024e-07, 9.647485404705006e-06, 0.0
3.255291597467924e-07, 9.678819454527796e-06, 0.0
2.919038395058691e-07, 9.705934706281248e-06, 0.0
2.6007077828294187e-07, 9.729097987420203e-06, 0.0
2.3023710304210564e-07, 9.748541727966472e-06, 0.0
2.026029003389417e-07, 9.764470676903357e-06, 0.0
1.7736846892601804e-07, 9.777067661371878e-06, 0.0
1.547407648691917e-07, 9.786498735486812e-06, 0.0
1.3493958117272847e-07, 9.792918052274862e-06, 0.0
1.182039246213112e-07, 9.796472811263227e-06, 0.0

Planet 2
Position History (x, y, z)
1.52, 0.0, 0.0
1.5071883642675423, 0.09850953045683958, 0.0
1.4814294131093357, 0.19617282695880578, 0.0
1.4425301537878237, 0.29209606659035253, 0.0
1.3902382963776698, 0.3853074562904901, 0.0
1.3242406926202988, 0.4747202695625669, 0.0
1.2441632068260104, 0.5590856577435014, 0.0
1.149574028643208, 0.6369299725072699, 0.0
1.0399943975741648, 0.706468715472623, 0.0
0.9149246640122523, 0.7654850226642707, 0.0
0.7739018360345324, 0.8111539389409799, 0.0
0.6166224203072175, 0.8397837447716296, 0.0
0.44320348942752896, 0.8464329869858866, 0.0
0.25474359165868177, 0.824356868713331, 0.0
0.05454461727050128, 0.7642927329737108, 0.0
-0.1492431736248474, 0.6539407314102664, 0.0
-0.338392450085226, 0.4794472542190555, 0.0
-0.4779786742684324, 0.23473116622125878, 0.0
-0.5238675605560104, -0.05599869039167771, 0.0
-0.46372222987739425, -0.335393916470235, 0.0
-0.33034899275672336, -0.5618259226786148, 0.0
-0.16165588786509655, -0.7281892832477473, 0.0
0.018566734435796983, -0.8426172814475302, 0.0
0.1978714290246786, -0.9153858058628097, 0.0
0.37004577595280685, -0.9551680681274219, 0.0
0.5320293145581344, -0.9686456002361092, 0.0
0.6823453798522204, -0.960880570518953, 0.0
0.8203220251266023, -0.935739110246427, 0.0
